ID1	ID2
C23_14_S364	Donor2_C220_S14
C23_15_S375	Donor2_C220_S15
C23_16_S376	Donor2_C220_S16
C24_01_S293	Donor2_C221_S01
C24_02_S294	Donor2_C221_S02
C24_03_S305	Donor2_C221_S03
C24_04_S306	Donor2_C221_S04
C24_05_S317	Donor2_C221_S05
C24_06_S318	Donor2_C221_S06
C24_07_S329	Donor2_C221_S07
C24_08_S330	Donor2_C221_S08
C24_09_S341	Donor2_C221_S09
C24_10_S342	Donor2_C221_S10
C24_11_S353	Donor2_C221_S11
C24_12_S354	Donor2_C221_S12
C24_13_S365	Donor2_C221_S13
C24_14_S366	Donor2_C221_S14
C24_15_S377	Donor2_C221_S15
C24_16_S378	Donor2_C221_S16
C25_01_S295	Donor2_C222_S01
C25_02_S296	Donor2_C222_S02
C25_03_S307	Donor2_C222_S03
C25_04_S308	Donor2_C222_S04
C25_05_S319	Donor2_C222_S05
C25_06_S320	Donor2_C222_S06
C25_07_S331	Donor2_C222_S07
C25_08_S332	Donor2_C222_S08
C25_09_S343	Donor2_C222_S09
C25_10_S344	Donor2_C222_S10
C25_11_S355	Donor2_C222_S11
C25_12_S356	Donor2_C222_S12
C25_13_S367	Donor2_C222_S13
C25_14_S368	Donor2_C222_S14
C25_15_S379	Donor2_C222_S15
C25_16_S380	Donor2_C222_S16
C26_01_S297	Donor2_C223_S01
C26_02_S298	Donor2_C223_S02
C26_03_S309	Donor2_C223_S03
C26_04_S310	Donor2_C223_S04
C26_05_S321	Donor2_C223_S05
C26_06_S322	Donor2_C223_S06
C26_07_S333	Donor2_C223_S07
C26_08_S334	Donor2_C223_S08
C26_09_S345	Donor2_C223_S09
C26_10_S346	Donor2_C223_S10
C26_11_S357	Donor2_C223_S11
C26_12_S358	Donor2_C223_S12
C26_13_S369	Donor2_C223_S13
C26_14_S370	Donor2_C223_S14
C26_15_S381	Donor2_C223_S15
C26_16_S382	Donor2_C223_S16
C27_01_S299	Donor2_C224_S01
C27_02_S300	Donor2_C224_S02
C27_03_S311	Donor2_C224_S03
C27_04_S312	Donor2_C224_S04
C27_05_S323	Donor2_C224_S05
C27_06_S324	Donor2_C224_S06
C27_07_S335	Donor2_C224_S07
C27_08_S336	Donor2_C224_S08
C27_09_S347	Donor2_C224_S09
C27_10_S348	Donor2_C224_S10
C27_11_S359	Donor2_C224_S11
C27_12_S360	Donor2_C224_S12
C27_13_S371	Donor2_C224_S13
C27_15_S383	Donor2_C224_S14
C29_01_S97	Donor2_C225_S01
C29_02_S98	Donor2_C225_S02
C29_03_S109	Donor2_C225_S03
C29_04_S110	Donor2_C225_S04
C29_05_S121	Donor2_C225_S05
C29_06_S122	Donor2_C225_S06
C29_07_S133	Donor2_C225_S07
C29_08_S134	Donor2_C225_S08
C29_09_S145	Donor2_C225_S09
C29_10_S146	Donor2_C225_S10
C29_11_S157	Donor2_C225_S11
C29_12_S158	Donor2_C225_S12
C29_13_S169	Donor2_C225_S13
C29_14_S170	Donor2_C225_S14
C29_15_S181	Donor2_C225_S15
C29_16_S182	Donor2_C225_S16
C30_01_S99	Donor2_C226_S01
C30_02_S100	Donor2_C226_S02
C30_03_S111	Donor2_C226_S03
C30_04_S112	Donor2_C226_S04
C30_05_S123	Donor2_C226_S05
C30_06_S124	Donor2_C226_S06
C30_07_S135	Donor2_C226_S07
C30_08_S136	Donor2_C226_S08
C30_09_S147	Donor2_C226_S09
C30_10_S148	Donor2_C226_S10
C30_11_S159	Donor2_C226_S11
C30_12_S160	Donor2_C226_S12
C30_13_S171	Donor2_C226_S13
C30_14_S172	Donor2_C226_S14
C30_15_S183	Donor2_C226_S15
C30_16_S184	Donor2_C226_S16
C31_01_S101	Donor2_C227_S01
C31_02_S102	Donor2_C227_S02
C31_03_S113	Donor2_C227_S03
C31_04_S114	Donor2_C227_S04
C31_05_S125	Donor2_C227_S05
C31_06_S126	Donor2_C227_S06
C31_07_S137	Donor2_C227_S07
C31_08_S138	Donor2_C227_S08
C31_09_S149	Donor2_C227_S09
C31_10_S150	Donor2_C227_S10
C31_11_S161	Donor2_C227_S11
C31_12_S162	Donor2_C227_S12
C31_13_S173	Donor2_C227_S13
C31_14_S174	Donor2_C227_S14
C31_15_S185	Donor2_C227_S15
C31_16_S186	Donor2_C227_S16
C32_01_S103	Donor2_C228_S01
C32_02_S104	Donor2_C228_S02
C32_03_S115	Donor2_C228_S03
C32_04_S116	Donor2_C228_S04
C32_05_S127	Donor2_C228_S05
C32_06_S128	Donor2_C228_S06
C32_07_S139	Donor2_C228_S07
C32_08_S140	Donor2_C228_S08
C32_09_S151	Donor2_C228_S09
C32_10_S152	Donor2_C228_S10
C32_11_S163	Donor2_C228_S11
C32_12_S164	Donor2_C228_S12
C32_13_S175	Donor2_C228_S13
C32_14_S176	Donor2_C228_S14
C32_15_S187	Donor2_C228_S15
C32_16_S188	Donor2_C228_S16
C33_01_S105	Donor2_C229_S01
C33_02_S106	Donor2_C229_S02
C33_03_S117	Donor2_C229_S03
C33_04_S118	Donor2_C229_S04
C33_05_S129	Donor2_C229_S05
C33_06_S130	Donor2_C229_S06
C33_07_S141	Donor2_C229_S07
C33_08_S142	Donor2_C229_S08
C33_09_S153	Donor2_C229_S09
C33_10_S154	Donor2_C229_S10
C33_11_S165	Donor2_C229_S11
C33_12_S166	Donor2_C229_S12
C33_13_S177	Donor2_C229_S13
C33_14_S178	Donor2_C229_S14
C33_15_S189	Donor2_C229_S15
C33_16_S190	Donor2_C229_S16
C34_01_S107	Donor2_C230_S01
C34_02_S108	Donor2_C230_S02
C34_03_S119	Donor2_C230_S03
C34_04_S120	Donor2_C230_S04
C34_05_S131	Donor2_C230_S05
C34_06_S132	Donor2_C230_S06
C34_07_S143	Donor2_C230_S07
C34_08_S144	Donor2_C230_S08
C34_09_S155	Donor2_C230_S09
C34_10_S156	Donor2_C230_S10
C34_11_S167	Donor2_C230_S11
C34_12_S168	Donor2_C230_S12
C34_13_S179	Donor2_C230_S13
C34_15_S191	Donor2_C230_S14
C03_01_S1	Donor1_C101_S01
C03_02_S2	Donor1_C101_S02
C03_03_S10	Donor1_C101_S03
C03_04_S11	Donor1_C101_S04
C03_05_S19	Donor1_C101_S05
C03_06_S20	Donor1_C101_S06
C03_07_S28	Donor1_C101_S07
C03_08_S29	Donor1_C101_S08
C03_09_S37	Donor1_C101_S09
C03_10_S38	Donor1_C101_S10
C03_11_S46	Donor1_C101_S11
C03_12_S47	Donor1_C101_S12
C03_13_S55	Donor1_C101_S13
C03_14_S56	Donor1_C101_S14
C03_15_S64	Donor1_C101_S15
C03_16_S65	Donor1_C101_S16
C04_01_S3	Donor1_C102_S01
C04_02_S4	Donor1_C102_S02
C04_03_S12	Donor1_C102_S03
C04_04_S13	Donor1_C102_S04
C04_05_S21	Donor1_C102_S05
C04_06_S22	Donor1_C102_S06
C04_07_S30	Donor1_C102_S07
C04_08_S31	Donor1_C102_S08
C04_09_S39	Donor1_C102_S09
C04_10_S40	Donor1_C102_S10
C04_11_S48	Donor1_C102_S11
C04_12_S49	Donor1_C102_S12
C04_13_S57	Donor1_C102_S13
C04_14_S58	Donor1_C102_S14
C04_15_S66	Donor1_C102_S15
C04_16_S67	Donor1_C102_S16
C05_01_S5	Donor1_C103_S01
C05_02_S14	Donor1_C103_S02
C05_03_S23	Donor1_C103_S03
C05_04_S32	Donor1_C103_S04
C05_05_S41	Donor1_C103_S05
C05_06_S50	Donor1_C103_S06
C05_07_S59	Donor1_C103_S07
C05_08_S68	Donor1_C103_S08
C06_01_S6	Donor1_C104_S01
C06_02_S7	Donor1_C104_S02
C06_03_S15	Donor1_C104_S03
C06_04_S16	Donor1_C104_S04
C06_05_S24	Donor1_C104_S05
C06_06_S25	Donor1_C104_S06
C06_07_S33	Donor1_C104_S07
C06_08_S34	Donor1_C104_S08
C06_09_S42	Donor1_C104_S09
C06_10_S43	Donor1_C104_S10
C06_11_S51	Donor1_C104_S11
C06_12_S52	Donor1_C104_S12
C06_13_S60	Donor1_C104_S13
C06_14_S61	Donor1_C104_S14
C06_15_S69	Donor1_C104_S15
C06_16_S70	Donor1_C104_S16
C07_01_S8	Donor1_C105_S01
C07_02_S9	Donor1_C105_S02
C07_03_S17	Donor1_C105_S03
C07_04_S18	Donor1_C105_S04
C07_05_S26	Donor1_C105_S05
C07_06_S27	Donor1_C105_S06
C07_07_S35	Donor1_C105_S07
C07_08_S36	Donor1_C105_S08
C07_09_S44	Donor1_C105_S09
C07_10_S45	Donor1_C105_S10
C07_11_S53	Donor1_C105_S11
C07_12_S54	Donor1_C105_S12
C07_13_S62	Donor1_C105_S13
C07_15_S71	Donor1_C105_S14
C08_01_S73	Donor1_C106_S01
C08_02_S74	Donor1_C106_S02
C08_03_S85	Donor1_C106_S03
C08_04_S86	Donor1_C106_S04
C08_05_S97	Donor1_C106_S05
C08_06_S98	Donor1_C106_S06
C08_07_S109	Donor1_C106_S07
C08_08_S110	Donor1_C106_S08
C08_09_S121	Donor1_C106_S09
C08_10_S122	Donor1_C106_S10
C08_11_S133	Donor1_C106_S11
C08_12_S134	Donor1_C106_S12
C08_13_S145	Donor1_C106_S13
C08_14_S146	Donor1_C106_S14
C08_15_S157	Donor1_C106_S15
C08_16_S158	Donor1_C106_S16
C09_01_S75	Donor1_C107_S01
C09_02_S76	Donor1_C107_S02
C09_03_S87	Donor1_C107_S03
C09_04_S88	Donor1_C107_S04
C09_05_S99	Donor1_C107_S05
C09_06_S100	Donor1_C107_S06
C09_07_S111	Donor1_C107_S07
C09_08_S112	Donor1_C107_S08
C09_09_S123	Donor1_C107_S09
C09_10_S124	Donor1_C107_S10
C09_11_S135	Donor1_C107_S11
C09_12_S136	Donor1_C107_S12
C09_13_S147	Donor1_C107_S13
C09_14_S148	Donor1_C107_S14
C09_15_S159	Donor1_C107_S15
C09_16_S160	Donor1_C107_S16
C10_01_S77	Donor1_C108_S01
C10_02_S78	Donor1_C108_S02
C10_03_S89	Donor1_C108_S03
C10_04_S90	Donor1_C108_S04
C10_05_S101	Donor1_C108_S05
C10_06_S102	Donor1_C108_S06
C10_07_S113	Donor1_C108_S07
C10_08_S114	Donor1_C108_S08
C10_09_S125	Donor1_C108_S09
C10_10_S126	Donor1_C108_S10
C10_11_S137	Donor1_C108_S11
C10_12_S138	Donor1_C108_S12
C10_13_S149	Donor1_C108_S13
C10_14_S150	Donor1_C108_S14
C10_15_S161	Donor1_C108_S15
C10_16_S162	Donor1_C108_S16
C11_01_S79	Donor1_C109_S01
C11_02_S80	Donor1_C109_S02
C11_03_S91	Donor1_C109_S03
C11_04_S92	Donor1_C109_S04
C11_05_S103	Donor1_C109_S05
C11_06_S104	Donor1_C109_S06
C11_07_S115	Donor1_C109_S07
C11_08_S116	Donor1_C109_S08
C11_09_S127	Donor1_C109_S09
C11_10_S128	Donor1_C109_S10
C11_11_S139	Donor1_C109_S11
C11_12_S140	Donor1_C109_S12
C11_13_S151	Donor1_C109_S13
C11_14_S152	Donor1_C109_S14
C11_15_S163	Donor1_C109_S15
C11_16_S164	Donor1_C109_S16
C12_01_S81	Donor1_C110_S01
C12_02_S82	Donor1_C110_S02
C12_03_S93	Donor1_C110_S03
C12_04_S94	Donor1_C110_S04
C12_05_S105	Donor1_C110_S05
C12_06_S106	Donor1_C110_S06
C12_07_S117	Donor1_C110_S07
C12_08_S118	Donor1_C110_S08
C12_09_S129	Donor1_C110_S09
C12_10_S130	Donor1_C110_S10
C12_11_S141	Donor1_C110_S11
C12_12_S142	Donor1_C110_S12
C12_13_S153	Donor1_C110_S13
C12_14_S154	Donor1_C110_S14
C12_15_S165	Donor1_C110_S15
C12_16_S166	Donor1_C110_S16
C13_01_S83	Donor1_C111_S01
C13_02_S84	Donor1_C111_S02
C13_03_S95	Donor1_C111_S03
C13_04_S96	Donor1_C111_S04
C13_05_S107	Donor1_C111_S05
C13_06_S108	Donor1_C111_S06
C13_07_S119	Donor1_C111_S07
C13_08_S120	Donor1_C111_S08
C13_09_S131	Donor1_C111_S09
C13_10_S132	Donor1_C111_S10
C13_11_S143	Donor1_C111_S11
C13_12_S144	Donor1_C111_S12
C13_13_S155	Donor1_C111_S13
C13_15_S167	Donor1_C111_S14
C14_01_S81	Donor1_C112_S01
C14_02_S82	Donor1_C112_S02
C14_03_S93	Donor1_C112_S03
C14_04_S94	Donor1_C112_S04
C14_05_S105	Donor1_C112_S05
C14_06_S106	Donor1_C112_S06
C14_07_S117	Donor1_C112_S07
C14_08_S118	Donor1_C112_S08
C14_09_S129	Donor1_C112_S09
C14_10_S130	Donor1_C112_S10
C14_11_S141	Donor1_C112_S11
C14_12_S142	Donor1_C112_S12
C14_13_S153	Donor1_C112_S13
C14_14_S154	Donor1_C112_S14
C14_15_S165	Donor1_C112_S15
C14_16_S166	Donor1_C112_S16
C15_01_S83	Donor1_C113_S01
C15_02_S84	Donor1_C113_S02
C15_03_S95	Donor1_C113_S03
C15_04_S96	Donor1_C113_S04
C15_05_S107	Donor1_C113_S05
C15_06_S108	Donor1_C113_S06
C15_07_S119	Donor1_C113_S07
C15_08_S120	Donor1_C113_S08
C15_09_S131	Donor1_C113_S09
C15_10_S132	Donor1_C113_S10
C15_11_S143	Donor1_C113_S11
C15_12_S144	Donor1_C113_S12
C15_13_S155	Donor1_C113_S13
C15_14_S156	Donor1_C113_S14
C15_15_S167	Donor1_C113_S15
C15_16_S168	Donor1_C113_S16
C16_01_S85	Donor1_C114_S01
C16_02_S86	Donor1_C114_S02
C16_03_S97	Donor1_C114_S03
C16_04_S98	Donor1_C114_S04
C16_05_S109	Donor1_C114_S05
C16_06_S110	Donor1_C114_S06
C16_07_S121	Donor1_C114_S07
C16_08_S122	Donor1_C114_S08
C16_09_S133	Donor1_C114_S09
C16_10_S134	Donor1_C114_S10
C16_11_S145	Donor1_C114_S11
C16_12_S146	Donor1_C114_S12
C16_13_S157	Donor1_C114_S13
C16_14_S158	Donor1_C114_S14
C16_15_S169	Donor1_C114_S15
C16_16_S170	Donor1_C114_S16
C17_01_S87	Donor1_C115_S01
C17_02_S88	Donor1_C115_S02
C17_03_S99	Donor1_C115_S03
C17_04_S100	Donor1_C115_S04
C17_05_S111	Donor1_C115_S05
C17_06_S112	Donor1_C115_S06
C17_07_S123	Donor1_C115_S07
C17_08_S124	Donor1_C115_S08
C17_09_S135	Donor1_C115_S09
C17_10_S136	Donor1_C115_S10
C17_11_S147	Donor1_C115_S11
C17_12_S148	Donor1_C115_S12
C17_13_S159	Donor1_C115_S13
C17_14_S160	Donor1_C115_S14
C17_15_S171	Donor1_C115_S15
C17_16_S172	Donor1_C115_S16
C18_01_S89	Donor1_C116_S01
C18_02_S90	Donor1_C116_S02
C18_03_S101	Donor1_C116_S03
C18_04_S102	Donor1_C116_S04
C18_05_S113	Donor1_C116_S05
C18_06_S114	Donor1_C116_S06
C18_07_S125	Donor1_C116_S07
C18_08_S126	Donor1_C116_S08
C18_09_S137	Donor1_C116_S09
C18_10_S138	Donor1_C116_S10
C18_11_S149	Donor1_C116_S11
C18_12_S150	Donor1_C116_S12
C18_13_S161	Donor1_C116_S13
C18_14_S162	Donor1_C116_S14
C18_15_S173	Donor1_C116_S15
C18_16_S174	Donor1_C116_S16
C19_01_S91	Donor1_C117_S01
C19_02_S92	Donor1_C117_S02
C19_03_S103	Donor1_C117_S03
C19_04_S104	Donor1_C117_S04
C19_05_S115	Donor1_C117_S05
C19_06_S116	Donor1_C117_S06
C19_07_S127	Donor1_C117_S07
C19_08_S128	Donor1_C117_S08
C19_09_S139	Donor1_C117_S09
C19_10_S140	Donor1_C117_S10
C19_11_S151	Donor1_C117_S11
C19_12_S152	Donor1_C117_S12
C19_13_S163	Donor1_C117_S13
C19_15_S175	Donor1_C117_S14
C20_01_S1	Donor1_C118_S01
C20_02_S2	Donor1_C118_S02
C20_03_S11	Donor1_C118_S03
C20_04_S12	Donor1_C118_S04
C20_05_S21	Donor1_C118_S05
C20_06_S22	Donor1_C118_S06
C20_07_S31	Donor1_C118_S07
C20_08_S32	Donor1_C118_S08
C20_09_S41	Donor1_C118_S09
C20_10_S42	Donor1_C118_S10
